,AÑO,IED,INF,CFG,PL,TD,CDP,PAT,GRUPO
count,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0
mean,2007.5,3.3543225278902526,11.60855502000203,15.11935426474191,41509.50484274544,8.629195344129554,0.9239757353916931,3.009171652000563,2.0
std,7.503798430225785,6.109500073719982,45.9814800717813,4.187292637313204,23795.971491908564,6.188292893804578,1.0533756335161941,16.246867013707167,0.0
min,1995.0,-40.0863459924574,-2.09333333333329,4.99730137319696,5040.09900053667,0.25,-3.8476707266781,0.0,2.0
25%,2001.0,1.1315755303016901,2.7360519360510724,11.602667937912049,24256.7453281547,4.42225,0.02900128167337405,0.0,2.0
50%,2007.5,2.40078828428161,5.014997150582776,14.84969740122115,38598.2075882363,7.255,1.13184949947102,0.0,2.0
75%,2014.0,4.24143557008244,9.156479816208828,18.135224064121925,52677.69119922957,11.0525,1.6533333125451375,1.0,2.0
max,2020.0,106.573484454523,1058.37355921973,29.3216374395892,147652.576078421,38.8,3.95879667991777,259.8500061035156,2.0
