,AÑO,IED,INF,CFG,PL,TD,CDP,PAT,GRUPO
count,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0,858.0
mean,2007.5,9.117695621408764,2.392391617505108,18.993941069251076,101561.12030323478,7.371960372960372,0.5946317823832018,39.50591607173006,1.0
std,7.504374453565282,31.770424030799624,3.2061067020013874,4.1005195646625925,30185.413254706127,4.103739033422715,0.8540395750967642,116.71418465136276,0.0
min,1995.0,-103.156686453621,-4.4781033915048,8.02694534256295,28753.6835329777,1.87,-2.25846389882827,0.0,1.0
25%,2001.0,1.2287878661202973,0.92593426353899,17.266747163819822,80958.7957650017,4.4825,0.1838717307469035,0.4627749994397164,1.0
50%,2007.5,2.92173891497655,1.9249383667849251,19.2391368330724,101945.6836767525,6.35,0.5147249148266335,5.025000095367432,1.0
75%,2014.0,6.547060421108163,2.85081777677978,21.650487934747524,122338.73641061076,8.877500000000001,0.9619718914349907,22.058625221252445,1.0
max,2020.0,449.082766618976,39.6476290328289,28.1541318169845,217344.86825058,27.69,5.32151708302623,991.8914184570312,1.0
